GRB,Trigger Number,BAT T90 [sec],XRT RA (J2000),XRT Dec (J2000),XRT Time to First Observation [sec],α,XRT Spectral Index (Gamma),UVOT dt [sec],UVOT Magnitude,Other Observatory Detections,Redshift,T90,Beta_X,Beta_X_neg,Beta_X_pos
070429B,277582,0.470,21:52:03.81,-38:49:42.0,256.26,-0.9259,3.00655,230,V=19.3,,0.904,0.484,1.47,0.98,1.33
070406,274153,1.200,,,74160,,,74160,V>21.6,,,0.256,,,
070209,259803,0.090,,,78,,,83,,,,0.068,,,
061217,251634,0.210,10:41:39.10,-21:07:26.9,64,0.35,9.998,4917,V>20.3,,0.827,0.224,-0.32,0.56,1.07
061210,243690,85.300,,,,-1.707,2.85715,209088,,Suzaku,0.41,85.248,1.6,1.6,2.2
061201,241840,0.760,22:08:32.30,-74:34:48.3,81.32,-0.5197,1.65934,86,V>20.8,"VLT, Konus-Wind, SOAR",0.111,0.772,0.5,0.16,0.17
061006,232585,129.900,07:24:07.56,-79:11:55.5,156.58,-0.7801,1.86722,129,V>20.85,"RHESSI, Konus-Wind, Suzaku, VLT",,130.1,0.79,0.18,0.27
060801,222154,0.490,14:12:01.33,16:58:54.6,63.01,-0.8536,1.67701,67,V>20.1,"Hanle (2.0m), CAHA (3.5m), VLT",,0.504,0.69,0.24,0.25
060505,208654,~4,22:07:03.32,-27:48:53.0,,-1.206,1.68055,51749,V>19.1,Gemini South,0.089,0.448,0.5,0.5,0.6
060502B,208275,0.131,18:35:45.23,52:37:53.5,70.27,,3.06579,57,V>20.29,"MDM (1.3m), Gemini",0.287,0.144,1.6,1.3,1.6
060427,207281,64.000,,,130.06,-3.991,2.3374,122,V>20.4,,,62.0,1.13,0.18,0.19
060313,201487,0.740,04:26:28.46,-10:50:41.2,78.69,-0.8686,1.9637,79,V=20.03,"VLT, SMARTS, La Silla (Danish 1.5m), Gemini, PROMPT, Konus-Wind",,0.744,0.846,0.087,0.12
060121,HETE,,09:09:52.12,45:39:46.3,,-1.213,2.28078,10594,V>19.4,,,,1.17,0.23,0.24
051221A,173780,1.400,21:54:48.62,16:53:26.5,88.00,-1.501,2.0589,73,V>19.2,"PAIRITEL, Gemini, RAPTOR, Chandra, MDM (1.3m), Suzaku (WAM), Konus-Wind, VLA @ 8.5 GHz, Maidanak",0.547,1.404,0.94,0.13,0.13
051210,171931,1.300,22:00:41.10,-57:36:48.9,79.24,-1.723,3.05422,83,V>20.6,Magellan,,1.304,1.88,0.86,1.25
051105A,162580,0.093,,,68,,,66,V>20.0,,,0.056,,,
050925,156838,0.070,,,100,,,90,V>20.2,,,0.092,,,
050906,153866,0.258,03:31:15.6,-14:36:37,79,,,,,,,0.064,,,
050813,150139,0.450,16:07:56.97,11:14:57.1,,,2.30189,102,V>19.1,,1.8,0.448,,,
050724,147478,96.000,16:24:44.33,-27:32:27.2,,-0.007711,1.80056,,V>18.84,"optical, near-IR, RXTE ASM, GMOS, VLA @ 8.5GHz",0.2570.258,95.964,0.68,0.11,0.16
050509B,118749,0.073,12:36:13.85,28:59:03.7,,-0.4357,1.88486,50,V>21.1,Keck,0.225,0.048,0.5,0.4,0.9
050202,104298,0.270,,,,,,,,,,0.112,,,
